 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
дата,день недели,ЕГЭ/ОГЭ и др.,8-1,9-1,9-2,9-3,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,11-1,11-2,11-3,11-4,11-5,11-6,11-7,11-8,11-9,11-10,11-11,11-12,дата,день недели
Мероприятия 2026-2027 учебного года,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 августа,пт,,интенсив,,,,,,,,,,,,,"Мат. пересдача 9:00, ауд. 2.10",,,,,,,,,Интенсив,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 августа,чт
29 августа,сб,,,,,,,,,,,,,,,"Биол. пересдача 15:00, ауд. 4.5.; Физ пересдача 15:00 (11-1,11-2, 11-3) ауд. 4.2.",,,,,,,,,,,,29 августа,пт
30 августа,вс,,,,,,,,,,,,,,,,,,,,," Физ. пересдача 10:00, ауд. 4.2."," Физ. пересдача 10:00, ауд. 4.2."," Физ. пересдача 10:00, ауд. 4.2.",,,,30 августа,сб
31 августа,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,31 августа,пн
1 сентября,вт,"Линейка, посвященная Дню знаний. Площадка перед УК. 11:50 - 12:40  (уроки сокращены на 5 мин.).",,,,,,,,,,,,,,,,,,,,,,,,,,1 сентября,вт
2 сентября,ср,,,,,,,,,,,,,,,,,,,,,,,,,,,2 сентября,ср
3 сентября,чт,,,Научнопопулярная лекция по математике 16:00 в 1.2,,,,,,,,,,,,,,,,,,,,,,,,3 сентября,чт
4 сентября,пт,,,,,,,,,,,,,,,,,,,,,,,,,,,4 сентября,пт
5 сентября,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,5 сентября,сб
6 сентября,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,6 сентября,вс
7 сентября,пн,,,Презентация спецкурсов кафедры Математики 16:00 ДЦ актовый зал,,,,,,,,,,,,,,,,,,,,,,,,7 сентября,пн
8 сентября,вт,,,,,,,,,,,,,,,,,,,,,,,,,,,8 сентября,вт
9 сентября,ср,,,"Отбор на спецкурс Олимпиадная полготовка по физике 16:00 1.3, 5.6, 5.7, 3.13",,,,,,,,,,,,,,,,,,,,,,,,9 сентября,ср
10 сентября,чт,,,,,,,,,,,,,,,,,,,,,,,,,,,10 сентября,чт
11 сентября,пт,,,"Отбор на спецкурс Олимпиадная полготовка по физике 16:00 1.3, 5.6, 5.7, 3.13",,,,,,,,,,,,,,,,,,,,,,,,11 сентября,пт
12 сентября,сб,,,,,,,,,,,,,,,,,,,,,,,,,,,12 сентября,сб
13 сентября,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,14 сентября,пн
14 сентября,пн,,,,,,,,,,,,,,,,,,,,,,,,,,,15 сентября,вт
